Please,Prosím,0,Would you like anything? ,Dáš/dáte si nìco? ,0,piece of chocolate cake ,kousek èokoládového dortu ,0,fry ,smait,0,I will pay with a card,Zaplatím kartou. ,0,,,
Goodbye,Na shledanou,0,Do you want to go someplace? ,Zajdeme nìkam?  ,0,pepper ,pepø ,0,The cook fried an egg with a frying pan ,Kuchaø smail vejce na pánvi ,0,I will pay in cash,Zaplatím hotovì. ,0,,,
Yes,Ano,0,Will you have lunch with me? ,Pùjdeš se mnou na obìd?  ,0,salt and pepper ,sùl a pepø ,0,roast ,opékat,0,It tastes good,Chutná mi to. ,0,,,
Congratulations,Gratuluji,0,Where is…? ,Kde je…? ,0,microwave ,mikrovlnná trouba ,0,roast the duck ,opékat kachnu ,0,It tastes bad,Nechutná mi to.  ,0,,,
I am,Já jsem ,0,How will I get to the station/airport? ,Jak se dostanu na nádraí/letištì? ,0,barbecue ,gril,0,cut ,krájet ,0,The food is delicious,To jídlo je vıborné. ,0,,,
I live in,Bydlím v ,0,Do you speak English? ,Mluvíte anglicky? ,0,oil ,olej ,0,cut a grapefruit ,krájet grep ,0,It’s gross,Je to hnusné ,0,,,
I am from,Jsem z ,0,Could you say it again? ,Mùete to zopakovat? ,0,ingredient ,ingredience ,0,sauté ,zpìnit,0,I think the food has gone bad. ,"Myslím, e je to jídlo zkaené. ",0,,,
This is,Tohle je ,0,,,,,,,saute onions ,smait cibuli ,0,I have a reservation ,Mám rezervaci.  ,0,,,
You’re welcome,Prosím ,0,,,,,,,boil ,vaøit,0,I am allergic to ,Mám alergii na ,0,,,
I have a question ,Chci se zeptat ,0,,,,,,,boiling water ,vroucí voda ,0,,,,,,
I’m sorry,Promiò/promiòte.,0,,,,,,,steam ,spaøit ,0,,,,,,
Forget it,To nic. ,0,,,,,,,steam the vegetables ,spaøit zeleninu ,0,,,,,,
I like it,Líbí se mi to. ,0,,,,,,,reheat ,ohøát ,0,,,,,,
I don’t like it,Nelíbí se mi to. ,0,,,,,,,reheat the food ,ohøát si jídlo ,0,,,,,,
I don’t speak Czech,Nemluvím èesky,0,,,,,,,reheat in the microwave,ohøát v mikrovlné troubì ,0,,,,,,
I don’t understand ,Nerozumím ,0,,,,,,,barbecue chicken ,grilované kuøe ,0,,,,,,
I need help ,Potøebuju pomoc ,0,,,,,,,,,,,,,,,
Help ,Pomoc ,0,,,,,,,,,,,,,,,
I need a doctor ,Potøebuju doktora ,0,,,,,,,,,,,,,,,
I need to call ,Potøebuju zavolat ,0,,,,,,,,,,,,,,,
I need to call an ambulance ,Potøebuju zavolat pohotovost ,0,,,,,,,,,,,,,,,
Please call an ambulance ,Zavolejte pohotovost prosím ,0,,,,,,,,,,,,,,,
I don’t feel well ,Není mi dobøe ,0,,,,,,,,,,,,,,,
I am hurt/injured ,Jsem zranìnı/zranìná ,0,,,,,,,,,,,,,,,
Call the police ,Zavolejte policii ,0,,,,,,,,,,,,,,,
Call the firefighters ,Zavolejte hasièe ,0,,,,,,,,,,,,,,,
There’s a fire ,Hoøí ,0,,,,,,,,,,,,,,,
I need to call the embassy ,Potøebuju zavolat na ambasádu ,0,,,,,,,,,,,,,,,
I lost ,Ztratil/ztratila jsem,0,,,,,,,,,,,,,,,
I need ,Potøebuju ,0,,,,,,,,,,,,,,,
I don’t know ,Nevím ,0,,,,,,,,,,,,,,,
